아이템의 고유 id,아이템 사용 시 적용될 효과의 타입,아이템 사용 시 적용될 효과의 수치,"아이템 사용 시 적용될 효과(타입, 수치)를 설명하는 스크립트를 불러올 스트링 키",아이템의 컨셉을 설명하는 스크립트를 불러올 스트링 키,아이템 사용 후 팝업될 이미지 리소스를 불러올 스트링 키
item_id,item_stat_type,item_opt,item_opt_desc,item_script,item_using_after_illust
int,enum,int,int,int,string
35001,2,1,,item_script_35001,
35002,0,1,,item_script_35002,
35003,1,200,,item_script_35003,
35004,2,,,,bathhouse_eating_roastedegg
35005,,,,,bathhouse_eating_drink
35006,,,,,bathhouse_eating_bananamilk
35007,,,,,bathhouse_eating_soda
35008,,,,,bathhouse_eating_sikhye
35009,,,,,bathhouse_eating_coffeemilk
35010,,,,,bathhouse_eating_cupramyeon
